"附件",,
"深圳海关进出口商品规范申报目录（2009年第三季度）",,
"商品编码","商品描述","申报要求"
"0804503000","鲜或干的山竹果","品名；状态（鲜）；品牌；规格（每件净重；每件个数）；级别；品种"
"0810600000","鲜榴莲","品名；状态（鲜）；品牌；规格（每件净重；每件个数）；级别；品种"
"0810903000","鲜龙眼","品名；状态（鲜）；品牌；规格；级别"
1006301001.0,"籼米精米","品名；种类；品牌；规格；状态；破碎率；成分比例；签约时间；生产年份；产区；英文名；（半熟米应注明加工程度）"
1102901901.0,"其他大米细粉","品名；种类；品牌；规格；状态；是否为配额内"
1108140000.0,"木薯淀粉","品名；种类；品牌；规格；成分比例"
1201009100.0,"非种用黄大豆","品名；状态；是否种用；品种；是否转基因；签约时间；是否为公式定价；公式定价备案编号"
1404909000.0,"干水苔。该水苔经过晒干、消毒、熏蒸、杀虫处理；呈浅黄色；进口后种植兰花用。","具体品名（具体品种）；规格；拉丁文名和英文名；具体用途。"
1507100000.0,"初榨的豆油","品名；加工方法（初榨）；加工程度（未经化学改性）；签约时间；是否精制；用途"
1511100000.0,"初榨的棕榈油","品名；加工方法（初榨）；加工程度（未经化学改性）；签约时间；熔点；用途"
1511901000.0,"棕榈液油","品名；是否初榨；加工程度（未经化学改性）；签约时间；是否精制；熔点；用途"
1511902001.0,"固态棕榈硬脂（50℃≤熔点≤56℃","品名；加工方法；加工程度（未经化学改性）；签约时间；熔点；用途；包装规格"
1513210000.0,"初榨棕榈仁油或巴巴苏棕榈果油","品名；加工方法（初榨）；加工程度（未经化学改性）；签约时间；用途；是否精制"
1514110000.0,"初榨的低芥子酸菜子油","品名；加工方法（初榨）；加工程度（未经化学改性）；签约时间；芥子酸含量；用途"
1517901000.0,"起酥油","品名；用途（是否食用）；加工方法来源（动物质还是植物质）；品牌；规格；加工原料（豆油；菜子油；棕榈油等）；成分含量"
1701110001.0,"未加香料或着色剂的甘蔗原糖","品名；加工方法（未加香料；着色剂）；原料；外观；是否精制；按重量计干燥状态糖含量"
1806310000.0,"巧克力","品名；品牌；形状（条状；块状等）；成分含量；容器包装或内包装每件净重；夹心请注明"
